N,u,V,C,P,R,a_tilde,Q,inflation,z,Θ
0.94,0.15400000000000003,0.13200000000000003,0.8247076212,1.0,1.0212335692618808,1.0,0.846,0.0,1.0,1.01
0.31549946056880573,0.998719131251091,0.283660505784585,0.01,1.0245718210637096,1.0212335692618808,1.545103792271135,0.0020548382568290583,0.024571821063709587,1.01,1.01
0.31475968154085154,0.9995700921283615,0.2836666979871103,0.01,1.0456291528907125,1.0212335692618808,1.545103792271135,0.0006904591119710169,0.02055232380404637,1.011139156704937,1.01
0.314758800296037,0.9995711001707424,0.2836666979871103,0.01,1.0629065365702506,1.0212335692618808,1.545103792271135,0.0006881498678911661,0.016523433410185362,1.0101259266758253,1.01
0.31475879924627426,0.9995711013715497,0.2836666979871103,0.01,1.0764971240241725,1.0212335692618808,1.545103792271135,0.000689259111109601,0.012786248824638413,1.0117570025177662,1.01
0.31483106037388,0.999461319251661,0.2836310332952946,0.01,1.0896997691613761,1.0212335692618808,1.5288254540744752,0.0008694812324305321,0.012264449985569303,1.0161951509180245,1.01
0.31475888532443946,0.9995710029080651,0.2836666979871103,0.01,1.096434675588855,1.0212335692618808,1.545103792271135,0.0006913632271485697,0.006180515604460535,1.0146126872355363,1.01
0.31475879934756235,0.9995711012556877,0.2836666979871103,0.01,1.1012160377106444,1.0212335692618808,1.545103792271135,0.0006901806184988024,0.004360827168496284,1.0131094009158272,1.01
0.31483106037403147,0.9994613192514877,0.2836310332952946,0.01,1.108039829536857,1.0212335692618808,1.5288254540744752,0.0008707391563167916,0.0061965968461545895,1.0176653331612102,1.01
0.31483116848657805,0.9994611955833841,0.2836310332952946,0.01,1.1128850394845047,1.0212335692618808,1.5288254540744752,0.000872350534668273,0.004372775976539511,1.0193146011093543,1.01
0.3148311686483295,0.9994611953983593,0.2836310332952946,0.01,1.1162662589740764,1.0212335692618808,1.5288254540744752,0.0008701984482608395,0.003038246871516881,1.0167996055803012,1.01
0.31483116864857147,0.9994611953980825,0.2836310332952946,0.01,1.1185964096530352,1.0212335692618808,1.5288254540744752,0.0008710118790603473,0.0020874506061845377,1.01775007344512,1.01
0.31475888545341923,0.9995710027605271,0.2836666979871103,0.01,1.1162638496655402,1.0212335692618808,1.545103792271135,0.0006918544891174509,-0.0020852561007401738,1.0153332913865827,1.01
0.31475879934771606,0.999571101255512,0.2836666979871103,0.01,1.1147304951342267,1.0212335692618808,1.545103792271135,0.0006901263352373522,-0.001373648830223173,1.0130297186304718,1.01
0.3147587992451446,0.9995711013728419,0.2836666979871103,0.01,1.1137159741823743,1.0212335692618808,1.545103792271135,0.0006902262830360369,-0.0009101042415908811,1.013176708195116,1.01
0.3147587992450224,0.9995711013729817,0.2836666979871103,0.01,1.1130418877311723,1.0212335692618808,1.545103792271135,0.0006854761604444551,-0.0006052588512945878,1.0062040479779895,1.01
0.31470013358168913,0.9996602236791006,0.2836956460215635,0.01,1.1085485899931626,1.0212335692618808,1.5615836697332064,0.0005644938780797473,-0.004036952955264628,1.000201616731797,1.01
0.3147000782190818,0.9996602870076026,0.2836956460215635,0.01,1.1056463520900552,1.0212335692618808,1.5615836697332064,0.0005633359380631753,-0.0026180520450846956,0.998335987048712,1.01
0.31470007816683626,0.9996602870673654,0.2836956460215635,0.01,1.1037476897476644,1.0212335692618808,1.5615836697332064,0.0005614967872334565,-0.0017172419904445402,0.9950768449991728,1.01
0.3147000781667869,0.9996602870674218,0.2836956460215635,0.01,1.1024953893522416,1.0212335692618808,1.5615836697332064,0.0005622208498621715,-0.0011345893695225984,0.9963600189467785,1.01
0.31465292038322845,0.9997319282334346,0.2837189170933069,0.01,1.0976330865051713,1.0212335692618808,1.578187418673149,0.0004424023533331066,-0.004410270459205279,0.9935455385502197,1.01
0.3146528852656514,0.999731968403969,0.2837189170933069,0.01,1.0945029871175362,1.0212335692618808,1.578187418673149,0.0004404047937276812,-0.002851680972556392,0.9892076594083021,1.01
0.31465288523949997,0.9997319684338833,0.2837189170933069,0.01,1.0924595734105034,1.0212335692618808,1.578187418673149,0.00044279830622455667,-0.001866978647919737,0.9945839173753283,1.01
0.3146528852394805,0.9997319684339057,0.2837189170933069,0.01,1.0911136315346994,1.0212335692618808,1.578187418673149,0.00044258716212535793,-0.0012320290000316092,0.9941096597149562,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0902219594682985,1.0212335692618808,1.578187418673149,0.00044281749580297807,-0.0008172128370780296,0.9946270198046786,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.08962899548361,1.0212335692618808,1.578187418673149,0.0004408438727480481,-0.0005438929013846794,0.9901939997999403,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0892336860526701,1.0212335692618808,1.578187418673149,0.00044026235645218116,-0.00036279268684880073,0.9888878368190102,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0889697088498778,1.0212335692618808,1.578187418673149,0.00044067268508265513,-0.00024235130273009275,0.9898094895241022,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0887932370920046,1.0212335692618808,1.578187418673149,0.0004392085005556737,-0.00016205387205814326,0.9865207362424034,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0886751767854395,1.0212335692618808,1.578187418673149,0.00044006052783618257,-0.00010843225558643255,0.988434502890824,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0885961550944778,1.0212335692618808,1.578187418673149,0.0004394355279899444,-7.2585186699059e-05,0.9870306700695507,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0885432458396946,1.0212335692618808,1.578187418673149,0.0004392956774697494,-4.8603198289476346e-05,0.9867165471917554,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.088507812458323,1.0212335692618808,1.578187418673149,0.00043870735115926577,-3.2551193080432306e-05,0.9853950880118106,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0884840791889865,1.0212335692618808,1.578187418673149,0.00044175381519559297,-2.1803490121818925e-05,0.9922378516200996,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.08846818108247,1.0212335692618808,1.578187418673149,0.0004419067743334393,-1.4605731788464027e-05,0.9925814181974594,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.088457530779912,1.0212335692618808,1.578187418673149,0.00044051793543436655,-9.784670551682417e-06,0.989461901222032,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0884503957184513,1.0212335692618808,1.578187418673149,0.0004419609947067649,-6.555204276725846e-06,0.9927032043708709,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.0884456155150892,1.0212335692618808,1.578187418673149,0.00044032977155356696,-4.391751228016716e-06,0.9890392601074229,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.088442412908025,1.0212335692618808,1.578187418673149,0.000440880623538486,-2.9423675547146644e-06,0.9902765469655676,1.01
0.31465288523948043,0.9997319684339057,0.2837189170933069,0.01,1.088440267219281,1.0212335692618808,1.578187418673149,0.0004382179412397659,-1.971338785211607e-06,0.984295808208486,1.01
0.3146150344636618,0.9997894713074293,0.2837375963787446,0.01,1.084513827094181,1.0212335692618808,1.594967577896008,0.0003429455401239079,-0.003607400647838155,0.9806980038366968,1.01
0.3146150123239999,0.9997894966327154,0.2837375963787446,0.01,1.081967928425236,1.0212335692618808,1.594967577896008,0.00034346888573555514,-0.0023475022681512803,0.98231274572323,1.01
0.3146528570361823,0.9997320006952873,0.2837189170933069,0.01,1.0840558206047595,1.0212335692618808,1.578187418673149,0.0004387609210803621,0.0019297172537844354,0.9856340481510534,1.01
0.31465288521847795,0.9997319684579301,0.2837189170933069,0.01,1.0854798766457299,1.0212335692618808,1.578187418673149,0.0004393852649577762,0.0013136371890665188,0.9869178610714276,1.01
0.31465288523946483,0.9997319684339235,0.2837189170933069,0.01,1.0864456238843403,1.0212335692618808,1.578187418673149,0.0004395066095090687,0.0008896961237039314,0.987190328685975,1.01
