quarter,employment_monetary,employment_productivity,output_monetary,output_productivity,vacancies_monetary,vacancies_productivity,separation_rate_monetary,separation_rate_productivity,tightness_monetary,tightness_productivity
0,-0.01777777777777778,-0.01777777777777778,-0.08277276676206369,0.004692721068623729,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,10.743837451115429,10.743837451115429
1,-0.17886199816509962,-0.12156125742435897,-0.16096861761459835,-0.09542350507772956,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,2.0732164947501595,3.3944810558079617
2,0.002309832629607378,-0.027811741878449037,-0.0653001155629741,-0.00498668669904867,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,15.220668866405997,9.2746939669786
3,-0.21068030942593563,-0.10864331665458404,-0.1912333225550824,-0.082962027741875,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,1.5810940261956934,3.81637254596789
4,0.015421997287323297,-0.0360925369511238,-0.05389486252973752,-0.012974874751623955,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,20.31927873438315,8.293331195520619
5,-0.2362855560273479,-0.09888752871527884,-0.21558833080701034,-0.07355096660870242,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,1.2618214536416392,4.180457892156921
6,0.024522511490238874,-0.04280040496853388,-0.045979032464582126,-0.019445716100149224,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,26.073575428311457,7.614284223220538
7,-0.2574817027628893,-0.09150240245245467,-0.2357495242018326,-0.06642679835411991,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,1.036487036799897,4.487252970266795
8,0.03121384389994697,-0.048164554880872346,-0.0401587624134957,-0.024620320454670885,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,32.62560507818509,7.131869108019296
9,-0.2756658495420581,-0.08589508559948145,-0.2530457858530092,-0.061017619513342725,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.8658525298603048,4.740937922899658
10,0.03641209107067178,-0.05241544226966277,-0.035637211177747985,-0.0287210001060767,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,40.28128205414364,6.782271500072066
11,-0.29192970068763213,-0.08162478437473397,-0.26851551496847637,-0.056898212025891515,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.7281759384738766,4.947608370148224
12,0.040674271727108025,-0.05576236019309477,-0.031929871457039405,-0.03194965261278271,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,49.63116848297753,6.525083021554633
13,-0.30719344718186636,-0.07836379303436924,-0.2830339719710311,-0.05375244983324756,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.6100595675021436,5.114021549505608
14,0.04436663344739711,-0.05838520898762589,-0.028718172945813802,-0.03447982142149075,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,61.852419188449495,6.333697874679081
15,-0.3223610485276833,-0.07586767729866195,-0.2974609783455351,-0.05134453589227583,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.5020286331255215,5.246799481768038
16,0.047760373537987566,-0.06043357977599251,-0.0257662221830961,-0.03645581176001145,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,79.58850156549609,6.190028789560958
17,-0.33855686307129673,-0.07395327017322395,-0.3128659929113642,-0.0494977755277245,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.3957517883413235,5.35198710053916
18,0.05110059290318092,-0.06202923415945638,-0.022860824940076574,-0.03799508270804952,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,110.25368345806253,6.081454463703547
19,-0.3576702766210321,-0.07248264511690117,-0.3310461476262436,-0.048079115918153836,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.28093267528103816,5.434855593964921
20,0.05469079511926467,-0.06326986939157764,-0.019737987042306004,-0.03919187932623147,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,186.23873197439806,5.998979319818782
21,-0.3843456338813225,-0.07135146541924675,-0.3564190157852899,-0.046987907155370046,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,0.13719998626943042,5.499859204868731
22,0.05911393911388685,-0.06423309754868556,-0.015890637822860265,-0.04012107122012387,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,1126.476777667242,5.936081627326403
23,-0.4453367048552189,-0.07048048381241512,-0.4144320495977134,-0.04614770222279496,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,-0.13442160630839695,5.550678460114309
24,0.0669639719410593,-0.06498013996088281,-0.00906250432619693,-0.040841716426231356,0.8732015667559956,0.8732015667559956,0.46506666666666663,0.40293333333333337,-145.7094441400105,5.8879681515963584
25,,-0.06980930164380217,,-0.045500236691603635,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.59030524444801
26,,-0.06555904202610807,,-0.0414001626286139,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.85107753689722
27,,-0.0692917541143292,,-0.045000977024471145,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.621142334699421
28,,-0.06600736739195634,,-0.041832646140125274,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.822740843379075
29,,-0.06889247362621465,,-0.044615805359577765,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.64510193091854
30,,-0.06635440281563776,,-0.04216741885227926,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.8009443172139195
31,,-0.06858431371885798,,-0.04431853447331324,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.663695397957215
32,,-0.06662293422497134,,-0.042426461538030424,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.7841604462639085
33,,-0.06834640698351702,,-0.044089034319741205,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.678111067693621
34,,-0.0668306617833706,,-0.04262684891456037,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.7712257189376
35,,-0.06816269377056838,,-0.04391181272689926,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.689279567562972
36,,-0.06699131858861618,,-0.042781828812138434,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.76125100088986
37,,-0.06802080303041436,,-0.04377493578388569,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.697927487758611
38,,-0.06711555009715475,,-0.042901670523417534,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.753555111127487
39,,-0.06791119818223323,,-0.043669203890865704,0.8732015667559956,0.8732015667559956,0.40293333333333337,0.40293333333333337,,5.704620790114529
